,text,edit_history_tweet_ids,created_at,id,author_id
76,"If you’re just rejoining us, here’s where things stand in the Senate and House. TL;DR: We still don’t know which party will control either one. https://t.co/Np3YZeQ7Nc",['1590542037413433345'],2022-11-10T03:09:07.000Z,1590542037413433345,2303751216
77,Latest election analysis: https://t.co/BTerukw9Oe,['1590523494760054786'],2022-11-10T01:55:26.000Z,1590523494760054786,2303751216
78,Runoffs are sort of Georgia’s thing now. https://t.co/MpHG0CJo8s,['1590444034988081152'],2022-11-09T20:39:41.000Z,1590444034988081152,2303751216
79,Abortion rights won up and down the ballot on election night. https://t.co/HqgMZSbeNj,['1590436747070038016'],2022-11-09T20:10:44.000Z,1590436747070038016,2303751216
80,Latest election results --&gt; https://t.co/1cypMDZwba,['1590433312740294656'],2022-11-09T19:57:05.000Z,1590433312740294656,2303751216
81,"There’s still no call for either chamber of Congress, but we’ve seen a few seats change hands already. https://t.co/BTerukw9Oe",['1590430964752285708'],2022-11-09T19:47:45.000Z,1590430964752285708,2303751216
82,Here’s a quick rundown of how California ballot measures have fared at the polls: https://t.co/FJjhLglEi4,['1590430414279102464'],2022-11-09T19:45:34.000Z,1590430414279102464,2303751216
83,The state of the race for the House so far: https://t.co/b8KoM1Mdbm,['1590429990218350593'],2022-11-09T19:43:53.000Z,1590429990218350593,2303751216
84,Abortion rights are reshaping American politics. https://t.co/frPmtGldYa,['1590414184335958016'],2022-11-09T18:41:04.000Z,1590414184335958016,2303751216
85,"Michigan Republicans had a tough night, having lost every statewide and swing-seat race in the 3rd, 7th and 8th Districts. But it looks like they have picked up a seat previously held by Democrats in suburban and exurban Detroit. https://t.co/pjOrWFlOzs",['1590413717644222471'],2022-11-09T18:39:13.000Z,1590413717644222471,2303751216
86,"So far in the House, 10 seats have flipped, netting +8 seats for Republicans. The GOP needed to flip only five seats to win the chamber, which they’ve cleared for now — but nothing’s guaranteed until they reach 218 seats. https://t.co/STa8RWaRFv",['1590409802378772480'],2022-11-09T18:23:39.000Z,1590409802378772480,2303751216
87,MODEL TALK! https://t.co/IClFJZNIBx https://t.co/UpylwHXuB9,['1590409179470127105'],2022-11-09T18:21:11.000Z,1590409179470127105,2303751216
88,Votes are still rolling in. https://t.co/BJQd0sn7oF,['1590407556341850112'],2022-11-09T18:14:44.000Z,1590407556341850112,2303751216
89,Republicans are now eight seats away from reaching the majority in the House. There are nine seats that FiveThirtyEight forecasted as “lean or likely” Republican that remain uncalled. #Election2022 https://t.co/LM7RG0TPjB,['1590401469076979713'],2022-11-09T17:50:33.000Z,1590401469076979713,2303751216
90,.@ABC reports that the Georgia Senate race is projected to go to a runoff between Republican Herschel Walker and Democratic Sen. Raphael Warnock. #Election2022 #GASen https://t.co/cAWES1d5lb,['1590399152604606466'],2022-11-09T17:41:20.000Z,1590399152604606466,2303751216
91,Refusing a bench role ended Allen Iverson’s career. Can accepting one save Russell Westbrook’s? https://t.co/ktf9ItXyd3,['1590388010872442880'],2022-11-09T16:57:04.000Z,1590388010872442880,2303751216
92,We're not done live-blogging #Election2022 just yet. Follow along as results keep coming in: https://t.co/K45PmRtKcH,['1590374167681146881'],2022-11-09T16:02:03.000Z,1590374167681146881,2303751216
93,"In Georgia’s governor race, Gov. Brian Kemp ended up beating Stacey Abrams by outperforming his benchmarks in almost all counties across the whole state. #Election2022 https://t.co/gwCWtxM5PJ",['1590361491823333376'],2022-11-09T15:11:41.000Z,1590361491823333376,2303751216
94,We’re still live-blogging because we still don’t know which party will control the Senate or House next year. Follow along: https://t.co/T4H1bYIVpI,['1590348876711710721'],2022-11-09T14:21:34.000Z,1590348876711710721,2303751216
95,The ultimate impact of this election could hinge a lot on yet-to-be-decided U.S. Senate races. https://t.co/gnYbG5SjCV,['1590339520976883712'],2022-11-09T13:44:23.000Z,1590339520976883712,2303751216
96,"Races for governor were a mixed bag for each party. But Democrats did manage two meaningful seat flips, and the outcomes of some major races are still uncertain. #Election2022 https://t.co/P81wtxAkB2",['1590336089721552898'],2022-11-09T13:30:45.000Z,1590336089721552898,2303751216
97,Redrawing of political maps has played a big role in which House districts have flipped parties so far during these midterms. https://t.co/fOO2btW4AG,['1590332538375266304'],2022-11-09T13:16:38.000Z,1590332538375266304,2303751216
98,"Overnight, Democrats won control of both the Michigan state Senate and Michigan state House. Democrats will now have full control of Michigan state government. #Election2022 https://t.co/N6loIp51Ne",['1590319983330041856'],2022-11-09T12:26:45.000Z,1590319983330041856,2303751216
99,That we don’t have a final projection for the House suggests it was a fairly good night for Democrats. https://t.co/ILP9a5HhXc,['1590289623493885952'],2022-11-09T10:26:07.000Z,1590289623493885952,2303751216
